Keys Needed | Lacked |
          3 |      3 | Albermarle County Courthouse
          2 |      2 | Catholic Church of the Holy Comforter
          3 |      3 | Congregation Beth Israel
          3 |      3 | Gen. Alexander Archer Vandegri
          3 |      3 | Historic Courthouse Square
          1 |      1 | Historic Jail House
          2 |      2 | Jack Jouett's Ride
          4 |      4 | Merriweather Lewis Placard
          2 |      2 | Paul Goodloe McIntire
          2 |      2 | Site of Old Swan Tavern
          2 |      2 | Stonewall Jackson Statue
          4 |      4 | The Kissing Stone
          0 |      0 | Watering Fountains
